revenue,expenditure,gdp,population,popu_agri,id,data,pcgdp,pcrevenue,pcexpenditure
.02601,.11751,1.50248,,,146,,,,
.06657,.39962,3.16742,,,147,1,,,
.08473,.47629,3.08067,,,148,,,,
.01756,.33269,1.5186,,,149,,,,
.01748,.28191,1.2019,,,150,,,,
.01774,.27133,.96,,,151,1,,,
.11345,.63631,4.6,,,152,,,,
.08058,.38177,2.77405,,,153,,,,
.07441,.41083,1.63368,,,154,,,,
.04694,.30598,1.73,,,155,1,,,
.17405,.53009,5.19,,,156,,,,
.04415,.39075,3.031,,,157,1,,,
.17106,.51919,2.2323,,,158,1,,,
.04315,.25063,1.25,,,159,,,,
.12722,.2682,6.737,,,160,,,,
.09655,.2996,6.46,,,161,,,,
.02567,.12893,1.451,,,162,1,,,
.22513,.69548,5.20869,,,163,,,,
.11351,.52029,5.16069,,,164,,,,
.14222,.65517,5.30446,,,165,1,,,
.21921,.68403,5.74,,,166,,,,
.11723,.64245,3.67,,,167,,,,
.20657,.71368,4.56,,,168,,,,
.27471,.72282,8.146000000000001,,,169,,,,
.05803,.6180099999999999,3.25937,,,170,,,,
.13806,.17033,6.35,,,171,1,,,
.29395,.26554,7.89995,,,172,,,,
.15809,.69394,13.06,,,173,1,,,
.08864,.45979,8.5,,,174,,,,
.05454,.46206,5.58,,,175,,,,
.02586,.28437,1.60924,,,176,,,,
.04885,.48676,4.8977,,,177,,,,
.10385,.3791,6.52998,,,178,,,,
.04597,.43169,3.66499,,,179,,,,
.03337,.32342,3.35953,,,180,,,,
.0483,.54037,7.2,,,181,1,,,
.02616,.29519,2.79722,,,182,,,,
.0915,.59532,8.88115,,,183,,,,
.87013,1.03508,74.56999999999999,,,184,1,,,
.2956,.64393,11.00477,,,185,1,,,
.09987,.71524,11.808,,,186,1,,,
.07667,.34413,3.4,,,187,,,,
.30492,.36237,3.29,,,188,,,,
.08503,.42803,4.2,,,189,,,,
.04769,.401,3.29773,,,190,1,,,
.21004,.55292,9.107430000000001,,,191,1,,,
.06662,.43934,6.33308,,,192,1,,,
.11645,.56073,9.349130000000001,,,193,,,,
.07513,.26661,2.53395,,,194,,,,
.48217,1.10388,16.03,,,195,1,,,
.8861599999999999,1.4345,20,,,196,,,,
.23142,.46644,.67,,,197,1,,,
.03653,.43073,3.77267,,,198,,,,
.02604,.33813,2.78715,,,199,,,,
.01978,.26808,2.30026,,,200,1,,,
.02257,.29623,2.87,,,201,,,,
.06874,.33811,5.81,,,202,,,,
.03745,.43319,4.4301,,,203,,,,
.05994,.53747,6.45,,,204,,,,
.02358,.359,2.74283,,,205,,,,
.07947,.45311,5.36,,,206,1,,,
.05352,.51033,6.58158,,,207,,,,
.4232,.66053,15.6,,,208,,,,
.4015,.54621,20.64305,,,209,,,,
.34569,.68624,15.8547,,,210,,,,
.20513,.42032,2.99235,,,211,,,,
.26866,.52491,19.64,,,212,,,,
.08573,.28593,4.50242,,,213,,,,
.2922,.78326,8.177759999999999,,,214,,,,
.09356,.40338,1.35,.14,.12,215,,9.6428576,.66828573,2.8812857
.11864,.47236,.93,,,216,,,,
.28647,.58404,3.583,,,217,,,,
.09822,.4675,18.2305,,,218,,,,
.03683,.25639,.79275,,,219,,,,
.20199,.48076,9.047269999999999,,,220,,,,
.04671,.2072,1.60692,,,221,,,,
.02145,.42082,.97506,,,222,,,,
.01391,.34595,.861,.22,.18,223,,3.9136364,.063227274,1.5725
.01745,.33313,.82,.18,.16,224,,4.5555553,.096944444,1.8507222
.06895,.3873,1.80835,.24,.21,225,,7.5347915,.28729168,1.61375
.02949,.46709,1.63,.35,.3,226,,4.6571426,.084257141,1.3345429
.15785,.63246,2.4,.15,.1,227,,16,1.0523334,4.2164001
.05869,.30558,1.26908,.17,.13,228,,7.4651766,.34523529,1.7975295
.11499,.19367,8.266579999999999,,,229,,,,
.09552,.16197,8.1,,,230,,,,
.1254,.38416,3.525,,,231,,,,
.20501,.49152,2.32925,.32,.27,232,,7.2789063,.64065623,1.536
.23986,.64302,3.84945,.3,.26,233,,12.8315,.79953331,2.1434
.13583,.24801,8.522030000000001,,,234,1,,,
.16133,.37559,9.024459999999999,,,235,1,,,
.28195,.61237,5.10083,.33,.3,236,,15.457061,.85439396,1.8556666
.34295,.77671,8.743359999999999,.25,.19,237,,34.973438,1.3717999,3.1068399
.15715,.44739,3.23041,.26,.23,238,1,12.424654,.60442311,1.7207308
.03261,.29159,.81209,.16,.14,239,,5.0755625,.20381249,1.8224375
.06426,.27845,1.851,.16,.14,240,,11.56875,.40162501,1.7403125
